,services,popularity,category
221,Starter replaced,22,miscellaneous
222,Tail light bulb(s) replaced,22,miscellaneous
223,Thermostat replaced,22,miscellaneous
224,Tire(s) changed,22,miscellaneous
225,Headlights adjusted,21,miscellaneous
226,Transfer case serviced,21,miscellaneous
227,Valve cover gasket(s) replaced,21,miscellaneous
228,Back-up camera installed,20,miscellaneous
229,Body water leak checked,20,miscellaneous
230,Brake pad sensor(s) replaced,20,miscellaneous
231,Glass repaired,20,miscellaneous
232,Oil pan drain plug replaced,20,miscellaneous
233,Radiator replaced,20,miscellaneous
234,Remote(s) programmed,20,miscellaneous
235,Roof rack installed,20,miscellaneous
236,Transfer module/computer reprogrammed,20,miscellaneous
237,Body electrical wiring repaired,19,miscellaneous
238,Mirror(s) checked,19,miscellaneous
239,Pinstripe(s) installed,19,miscellaneous
240,Service contract claim,19,miscellaneous
241,Shock absorber(s) replaced,19,miscellaneous
242,Stabilizer bar links replaced,19,miscellaneous
243,60,18,miscellaneous
244,Anti-theft/keyless system checked,18,miscellaneous
245,Blower motor replaced/repaired,18,miscellaneous
246,Emblem replaced,18,miscellaneous
247,Emissions system serviced,18,miscellaneous
248,Interior trim repaired,18,miscellaneous
249,Rear brake caliper(s) replaced,18,miscellaneous
250,Spark plugs cleaned and gap adjusted,18,miscellaneous
251,Undercoating/rustproofing applied,18,miscellaneous
252,80,17,miscellaneous
253,Control arm(s) replaced,17,miscellaneous
254,Fuel filler cap replaced,17,miscellaneous
255,Left airbag assembly replaced,17,miscellaneous
256,Ride height system repaired/adjusted,17,miscellaneous
257,Sunroof checked,17,miscellaneous
258,Wheel bearing(s)/hub(s) replaced,17,miscellaneous
259,Engine oil cooler line(s) repaired/replaced,16,miscellaneous
260,Engine oil system flushed,16,miscellaneous
261,Fuel injection system checked,16,miscellaneous
262,PCV valve replaced,16,miscellaneous
263,Rear brake shoes replaced,16,miscellaneous
264,Strut(s) replaced,16,miscellaneous
265,Trailer hitch installed,16,miscellaneous
266,Transmission cooler line(s) repaired/replaced,16,miscellaneous
267,A/C compressor replaced,15,miscellaneous
268,Roof rack rails installed,15,miscellaneous
269,Timing belt replaced,15,miscellaneous
270,Tonneau cover installed,15,miscellaneous
271,Wheel bearings checked,15,miscellaneous
272,A/C condenser replaced,14,miscellaneous
273,ABS system checked,14,miscellaneous
274,ABS/TCS module reprogrammed,14,miscellaneous
275,Brake line(s) replaced/repaired,14,miscellaneous
276,Lower control arm(s) replaced,14,miscellaneous
277,Mirror replaced,14,miscellaneous
278,Muffler replaced,14,miscellaneous
279,One wheel replaced,14,miscellaneous
280,Radio replaced,14,miscellaneous
281,Sunroof serviced,14,miscellaneous
282,Tire pressure sensor reprogrammed,14,miscellaneous
283,Transmission replaced,14,miscellaneous
284,Brake light switch replaced,13,miscellaneous
285,Catalytic converter replaced,13,miscellaneous
286,Console repaired,13,miscellaneous
287,High mount brake light bulb replaced,13,miscellaneous
288,Ignition lock cylinder replaced,13,miscellaneous
289,Oil pan gasket replaced,13,miscellaneous
290,Power steering motor replaced,13,miscellaneous
291,Power steering system serviced,13,miscellaneous
292,Radio/sound system repaired,13,miscellaneous
293,Splash shield replaced/repaired,13,miscellaneous
294,Steering wheel replaced,13,miscellaneous
295,Tail light assembly replaced,13,miscellaneous
296,Tie rod end(s) replaced,13,miscellaneous
297,Tire(s) dismounted,13,miscellaneous
298,Vibration checked,13,miscellaneous
299,25,12,miscellaneous
300,Antenna replaced,12,miscellaneous
301,Anti-theft/keyless remote(s) replaced,12,miscellaneous
302,Axle seal(s) replaced,12,miscellaneous
303,Clutch checked,12,miscellaneous
304,CV boot(s) checked,12,miscellaneous
305,Fuel injector(s) replaced,12,miscellaneous
306,Intake manifold gasket(s) replaced,12,miscellaneous
307,Paint sealant/protection checked,12,miscellaneous
308,Radiator checked,12,miscellaneous
309,Three tires replaced,12,miscellaneous
310,Tires serviced,12,miscellaneous
311,Transmission fluid/oil leak checked,12,miscellaneous
312,Camshaft position sensor replaced,11,miscellaneous
313,Decarbon service completed,11,miscellaneous
314,Fuel tank replaced,11,miscellaneous
315,Ignition switch replaced,11,miscellaneous
316,Rear wheel bearing(s)/hub(s) replaced,11,miscellaneous
317,Sound system component installed,11,miscellaneous
318,Spare tire installed,11,miscellaneous
319,Steering gear replaced,11,miscellaneous
320,Suspension serviced,11,miscellaneous
321,Sway bar bushing(s) replaced,11,miscellaneous
322,Alternator checked,10,miscellaneous
323,Body computer/module replaced,10,miscellaneous
324,Coolant reservoir replaced,10,miscellaneous
325,Cup holder replaced,10,miscellaneous
326,Evaporative emissions vent solenoid replaced,10,miscellaneous
327,Headliner removed and reinstalled,10,miscellaneous
328,Hood latch replaced,10,miscellaneous
329,Instrument cluster reprogrammed,10,miscellaneous
330,Radio speaker(s) replaced,10,miscellaneous
331,Thrust angle alignment performed,10,miscellaneous
332,Wiper arm(s) replaced,10,miscellaneous
333,45,9,miscellaneous
334,Air filter cleaned,9,miscellaneous
335,Body side moldings installed,9,miscellaneous
336,Door trim panel replaced/repaired,9,miscellaneous
337,Engine cleaned,9,miscellaneous
338,Exhaust pipe replaced,9,miscellaneous
339,Fog light bulb(s) replaced,9,miscellaneous
340,Front brake caliper(s) replaced,9,miscellaneous
341,Fuel pump module replaced,9,miscellaneous
342,High mount brake light assembly replaced,9,miscellaneous
343,Idler pulley replaced,9,miscellaneous
344,Oil pressure sender/switch replaced,9,miscellaneous
345,Sensing and diagnostic module reprogrammed,9,miscellaneous
346,Spark plug wires replaced,9,miscellaneous
347,Steering damper replaced,9,miscellaneous
348,Sunvisor(s) replaced/repaired,9,miscellaneous
349,Transmission filter replaced,9,miscellaneous
350,Wheel covers/trim rings installed,9,miscellaneous
351,Window regulator(s) replaced,9,miscellaneous
352,Window vent visors installed,9,miscellaneous
353,A/C system flushed,8,miscellaneous
354,Axle(s) replaced,8,miscellaneous
355,Battery cable(s) replaced,8,miscellaneous
356,Cargo net installed,8,miscellaneous
357,Charcoal/vapor canister replaced,8,miscellaneous
358,Door handle replaced,8,miscellaneous
359,Doors checked,8,miscellaneous
360,GPS/navigation system installed,8,miscellaneous
361,Headlights serviced,8,miscellaneous
362,Hood operation checked,8,miscellaneous
363,Inside rear view mirror replaced,8,miscellaneous
364,Mass air flow sensor replaced,8,miscellaneous
365,Power steering hose(s)/line(s) replaced,8,miscellaneous
366,Radiator hose(s) replaced,8,miscellaneous
367,Radio installed,8,miscellaneous
368,Seatbelt assembly replaced,8,miscellaneous
369,Sunroof drain hoses serviced,8,miscellaneous
370,Switch replaced/repaired,8,miscellaneous
371,Turn signal bulb(s) replaced,8,miscellaneous
372,Wing/spoiler installed,8,miscellaneous
373,35,7,miscellaneous
374,A/C leak checked,7,miscellaneous
375,ABS module replaced,7,miscellaneous
376,Body computer/module checked,7,miscellaneous
377,Brake shoes replaced,7,miscellaneous
378,Clutch replaced,7,miscellaneous
379,Computer module replaced,7,miscellaneous
380,Cooling system hoses checked,7,miscellaneous
381,Dash gauges checked,7,miscellaneous
382,Evaporative emission system checked,7,miscellaneous
383,Front brake hose(s) replaced,7,miscellaneous
384,Front door trim panel replaced/repaired,7,miscellaneous
385,Fuel level sending unit replaced,7,miscellaneous
386,Fuel line/hose replaced,7,miscellaneous
387,Fuse block replaced,7,miscellaneous
388,Horn replaced,7,miscellaneous
389,Inside door handle replaced,7,miscellaneous
390,Instrument panel repaired,7,miscellaneous
391,Oil consumption test performed,7,miscellaneous
392,Seat cover replaced,7,miscellaneous
393,Seat installed,7,miscellaneous
394,Steering shaft replaced/repaired,7,miscellaneous
395,Tailgate/hatch latch replaced,7,miscellaneous
396,Torque converter replaced,7,miscellaneous
397,Window motor(s) replaced,7,miscellaneous
398,Window repaired,7,miscellaneous
399,Wipers/washers serviced,7,miscellaneous
400,Wiring harness installed,7,miscellaneous
401,A/C hose/line replaced,6,miscellaneous
402,Accessory removed,6,miscellaneous
403,Airbag clockspring/reel replaced,6,miscellaneous
404,Battery charger installed,6,miscellaneous
405,Cylinder head replaced,6,miscellaneous
406,Drive belt tensioner replaced,6,miscellaneous
407,Drivetrain checked,6,miscellaneous
408,Engine compression checked,6,miscellaneous
409,Fog light assembly replaced,6,miscellaneous
410,Front door latch replaced,6,miscellaneous
411,Front seat cover replaced,6,miscellaneous
412,Front seat replaced,6,miscellaneous
413,Front shock absorber(s) replaced,6,miscellaneous
414,Fuel filler cap secured,6,miscellaneous
415,Fuel filler neck replaced,6,miscellaneous
416,Fuel system leak checked/repaired,6,miscellaneous
417,Internal transmission repaired,6,miscellaneous
418,Seatbelt buckle replaced,6,miscellaneous
419,Tailpipe replaced,6,miscellaneous
420,Telephone repaired,6,miscellaneous
421,Tire pressure sensor checked,6,miscellaneous
422,Transaxle checked,6,miscellaneous
423,Wheel lug stud(s) replaced,6,miscellaneous
424,Wheel speed sensor(s) replaced/repaired,6,miscellaneous
425,50,5,miscellaneous
426,Accessories repaired/replaced,5,miscellaneous
427,Airbag computer/module replaced,5,miscellaneous
428,Ball joint(s) replaced,5,miscellaneous
429,Blend/diverter door actuator replaced,5,miscellaneous
430,Blower motor resistor replaced,5,miscellaneous
431,Brake master cylinder replaced/repaired,5,miscellaneous
432,Chrome/alloy wheels installed,5,miscellaneous
433,Coolant temperature sensor replaced,5,miscellaneous
434,Cooling system hose(s) replaced,5,miscellaneous
435,Door latch repaired/replaced,5,miscellaneous
436,Door lock actuator(s) replaced,5,miscellaneous
437,Drive belts adjusted,5,miscellaneous
438,Exhaust manifold gasket replaced,5,miscellaneous
439,Exterior trim repaired,5,miscellaneous
440,Fender liner replaced/repaired,5,miscellaneous
441,Fuel filler door replaced/repaired,5,miscellaneous
442,Fuel pressure checked,5,miscellaneous
443,Glove box repaired/replaced,5,miscellaneous
444,GPS/Navigation system serviced,5,miscellaneous
445,Heated oxygen sensor replaced,5,miscellaneous
446,Heated seat repaired,5,miscellaneous
447,Hood adjusted,5,miscellaneous
448,Intake manifold replaced,5,miscellaneous
449,Mud flaps/splash guards repaired,5,miscellaneous
450,Outside mirror glass replaced,5,miscellaneous
451,Power steering pump replaced,5,miscellaneous
452,Radiator cap replaced,5,miscellaneous
453,Radiator hose clamp replaced,5,miscellaneous
454,Steering column replaced,5,miscellaneous
455,Sunroof replaced/repaired,5,miscellaneous
456,Thermostat housing/gasket replaced,5,miscellaneous
457,Timing belt tensioner/idler checked,5,miscellaneous
458,Tire(s) serviced,5,miscellaneous
459,Transfer case operation checked,5,miscellaneous
460,Transmission computer/module replaced,5,miscellaneous
